Job,Tool,a,b,memUsage
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11845
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11829
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11814
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11803
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11791
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11776
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11767
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11759
BenchmarkBedopsSortAMem100_10mi-13                     ,BedopsSortA,100,10000000,11751
 11901BenchmarkBedopsSortBMem100_10mi-13                     ,BedopsSortB,100,10000000,11901
BenchmarkBedopsSortBMem100_10mi-13                     ,BedopsSortB,100,10000000,12048
BenchmarkBedopsSortBMem100_10mi-13                     ,BedopsSortB,100,10000000,12193
